#complex,groundtruth,simplifiedcomplex,simplifiedgroundtruth,z3flag,simtime
((-4*(a&b)-4*(a&~b)+5*(a|b)-1*~(a|b)-6*~(a|~b)+1*~a)&y)*((-4*(a&b)-4*(a&~b)+5*(a|b)-1*~(a|b)-6*~(a|~b)+1*~a)|y)+((-4*(a&b)-4*(a&~b)+5*(a|b)-1*~(a|b)-6*~(a|~b)+1*~a)&~y)*(~(-4*(a&b)-4*(a&~b)+5*(a|b)-1*~(a|b)-6*~(a|~b)+1*~a)&y),a*y,a*y,a*y,True,0.07568240165710449
((-2*(a&b)-2*(a&~b)+3*a+6*~(a|b)+6*~(a|~b)-6*~a)&y)*((-2*(a&b)-2*(a&~b)+3*a+6*~(a|b)+6*~(a|~b)-6*~a)|y)+((-2*(a&b)-2*(a&~b)+3*a+6*~(a|b)+6*~(a|~b)-6*~a)&~y)*(~(-2*(a&b)-2*(a&~b)+3*a+6*~(a|b)+6*~(a|~b)-6*~a)&y),a*y,a*y,a*y,True,0.07406115531921387
((1*(a&b)+3*(a&~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b)-3*~b)&y)*((1*(a&b)+3*(a&~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b)-3*~b)|y)+((1*(a&b)+3*(a&~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b)-3*~b)&~y)*(~(1*(a&b)+3*(a&~b)+1*~(a&b)+2*~(a|b)-1*~(a|~b)-3*~b)&y),a*y,a*y,a*y,True,0.08059954643249512
((-2*(a&b)+3*~(a^b)-4*~(a|b)+1*~b)&y)*((-2*(a&b)+3*~(a^b)-4*~(a|b)+1*~b)|y)+((-2*(a&b)+3*~(a^b)-4*~(a|b)+1*~b)&~y)*(~(-2*(a&b)+3*~(a^b)-4*~(a|b)+1*~b)&y),a*y,a*y,a*y,True,0.07186341285705566
((4*(a&b)+2*(a&~b)-1*(a|b)-2*~(a^b)+2*~(a|b)+1*~(a|~b))&y)*((4*(a&b)+2*(a&~b)-1*(a|b)-2*~(a^b)+2*~(a|b)+1*~(a|~b))|y)+((4*(a&b)+2*(a&~b)-1*(a|b)-2*~(a^b)+2*~(a|b)+1*~(a|~b))&~y)*(~(4*(a&b)+2*(a&~b)-1*(a|b)-2*~(a^b)+2*~(a|b)+1*~(a|~b))&y),a*y,a*y,a*y,True,0.07708382606506348
((4*(a&b)+2*(a&~b)-1*a-2*~(a&~b)+2*~(a|b)+2*~(a|~b))&y)*((4*(a&b)+2*(a&~b)-1*a-2*~(a&~b)+2*~(a|b)+2*~(a|~b))|y)+((4*(a&b)+2*(a&~b)-1*a-2*~(a&~b)+2*~(a|b)+2*~(a|~b))&~y)*(~(4*(a&b)+2*(a&~b)-1*a-2*~(a&~b)+2*~(a|b)+2*~(a|~b))&y),a*y,a*y,a*y,True,0.08489727973937988
((1*(a&b)+11*(a&~b)-11*(a^b)+1*~(a&b)-1*~(a|b)+10*~(a|~b))&y)*((1*(a&b)+11*(a&~b)-11*(a^b)+1*~(a&b)-1*~(a|b)+10*~(a|~b))|y)+((1*(a&b)+11*(a&~b)-11*(a^b)+1*~(a&b)-1*~(a|b)+10*~(a|~b))&~y)*(~(1*(a&b)+11*(a&~b)-11*(a^b)+1*~(a&b)-1*~(a|b)+10*~(a|~b))&y),a*y,a*y,a*y,True,0.0746307373046875
((1*~(a&b)+1*~(a^b)-2*~(a|b)-1*~(a|~b))&y)*((1*~(a&b)+1*~(a^b)-2*~(a|b)-1*~(a|~b))|y)+((1*~(a&b)+1*~(a^b)-2*~(a|b)-1*~(a|~b))&~y)*(~(1*~(a&b)+1*~(a^b)-2*~(a|b)-1*~(a|~b))&y),a*y,a*y,a*y,True,0.0773928165435791
((8*(a&b)+8*(a&~b)-11*(a|~b)+4*a+11*~(a|b))&y)*((8*(a&b)+8*(a&~b)-11*(a|~b)+4*a+11*~(a|b))|y)+((8*(a&b)+8*(a&~b)-11*(a|~b)+4*a+11*~(a|b))&~y)*(~(8*(a&b)+8*(a&~b)-11*(a|~b)+4*a+11*~(a|b))&y),a*y,a*y,a*y,True,0.07714343070983887
((-8*(a&b)+3*(a&~b)-2*(a|~b)+11*b+2*~(a|b)-11*~(a|~b))&y)*((-8*(a&b)+3*(a&~b)-2*(a|~b)+11*b+2*~(a|b)-11*~(a|~b))|y)+((-8*(a&b)+3*(a&~b)-2*(a|~b)+11*b+2*~(a|b)-11*~(a|~b))&~y)*(~(-8*(a&b)+3*(a&~b)-2*(a|~b)+11*b+2*~(a|b)-11*~(a|~b))&y),a*y,a*y,a*y,True,0.0766899585723877
((-2*(a&b)-2*(a&~b)+3*~(a^b)-6*~(a|b)+3*~b)&y)*((-2*(a&b)-2*(a&~b)+3*~(a^b)-6*~(a|b)+3*~b)|y)+((-2*(a&b)-2*(a&~b)+3*~(a^b)-6*~(a|b)+3*~b)&~y)*(~(-2*(a&b)-2*(a&~b)+3*~(a^b)-6*~(a|b)+3*~b)&y),a*y,a*y,a*y,True,0.07815670967102051
((-6*(a&b)-4*(a&~b)-2*(a^b)+7*(a|~b)-7*~(a|b)+2*~(a|~b))&y)*((-6*(a&b)-4*(a&~b)-2*(a^b)+7*(a|~b)-7*~(a|b)+2*~(a|~b))|y)+((-6*(a&b)-4*(a&~b)-2*(a^b)+7*(a|~b)-7*~(a|b)+2*~(a|~b))&~y)*(~(-6*(a&b)-4*(a&~b)-2*(a^b)+7*(a|~b)-7*~(a|b)+2*~(a|~b))&y),a*y,a*y,a*y,True,0.0799551010131836
((1*(a&~b)+1*~(a&~b)+5*~(a|b)+5*~(a|~b)-6*~a)&y)*((1*(a&~b)+1*~(a&~b)+5*~(a|b)+5*~(a|~b)-6*~a)|y)+((1*(a&~b)+1*~(a&~b)+5*~(a|b)+5*~(a|~b)-6*~a)&~y)*(~(1*(a&~b)+1*~(a&~b)+5*~(a|b)+5*~(a|~b)-6*~a)&y),a*y,a*y,a*y,True,0.07429885864257812
((1*(a&b)-1*(a^b)-2*~(a|b)+1*~(a|~b)+2*~b)&y)*((1*(a&b)-1*(a^b)-2*~(a|b)+1*~(a|~b)+2*~b)|y)+((1*(a&b)-1*(a^b)-2*~(a|b)+1*~(a|~b)+2*~b)&~y)*(~(1*(a&b)-1*(a^b)-2*~(a|b)+1*~(a|~b)+2*~b)&y),a*y,a*y,a*y,True,0.07545137405395508
((12*(a&b)-3*(a&~b)+4*(a^b)-11*~(a^b)+11*~(a|b)-4*~(a|~b))&y)*((12*(a&b)-3*(a&~b)+4*(a^b)-11*~(a^b)+11*~(a|b)-4*~(a|~b))|y)+((12*(a&b)-3*(a&~b)+4*(a^b)-11*~(a^b)+11*~(a|b)-4*~(a|~b))&~y)*(~(12*(a&b)-3*(a&~b)+4*(a^b)-11*~(a^b)+11*~(a|b)-4*~(a|~b))&y),a*y,a*y,a*y,True,0.07524466514587402
(x&(2*(a&b)-10*(a&~b)-1*(a|b)+11*~(a&b)-11*~(a|b)-9*~(a|~b)))*(x|(2*(a&b)-10*(a&~b)-1*(a|b)+11*~(a&b)-11*~(a|b)-9*~(a|~b)))+(x&~(2*(a&b)-10*(a&~b)-1*(a|b)+11*~(a&b)-11*~(a|b)-9*~(a|~b)))*(~x&(2*(a&b)-10*(a&~b)-1*(a|b)+11*~(a&b)-11*~(a|b)-9*~(a|~b))),x*b,x*b,x*b,True,0.08289217948913574
(x&(-6*(a&b)-5*(a&~b)+5*~(a&~a)+2*~(a^b)-7*~(a|b)-4*~(a|~b)))*(x|(-6*(a&b)-5*(a&~b)+5*~(a&~a)+2*~(a^b)-7*~(a|b)-4*~(a|~b)))+(x&~(-6*(a&b)-5*(a&~b)+5*~(a&~a)+2*~(a^b)-7*~(a|b)-4*~(a|~b)))*(~x&(-6*(a&b)-5*(a&~b)+5*~(a&~a)+2*~(a^b)-7*~(a|b)-4*~(a|~b))),x*b,x*b,x*b,True,0.08392143249511719
(x&(-3*(a&b)+1*(a&~b)-1*~(a&b)+4*~(a^b)-3*~(a|b)+2*~(a|~b)))*(x|(-3*(a&b)+1*(a&~b)-1*~(a&b)+4*~(a^b)-3*~(a|b)+2*~(a|~b)))+(x&~(-3*(a&b)+1*(a&~b)-1*~(a&b)+4*~(a^b)-3*~(a|b)+2*~(a|~b)))*(~x&(-3*(a&b)+1*(a&~b)-1*~(a&b)+4*~(a^b)-3*~(a|b)+2*~(a|~b))),x*b,x*b,x*b,True,0.07399201393127441
(x&(6*(a&b)+5*(a&~b)-5*(a|b)-2*~(a|b)+4*~(a|~b)+2*~a))*(x|(6*(a&b)+5*(a&~b)-5*(a|b)-2*~(a|b)+4*~(a|~b)+2*~a))+(x&~(6*(a&b)+5*(a&~b)-5*(a|b)-2*~(a|b)+4*~(a|~b)+2*~a))*(~x&(6*(a&b)+5*(a&~b)-5*(a|b)-2*~(a|b)+4*~(a|~b)+2*~a)),x*b,x*b,x*b,True,0.07872557640075684
(x&(-7*(a&b)-11*(a&~b)+11*a-3*~(a&~b)+3*~(a|b)+4*~(a|~b)))*(x|(-7*(a&b)-11*(a&~b)+11*a-3*~(a&~b)+3*~(a|b)+4*~(a|~b)))+(x&~(-7*(a&b)-11*(a&~b)+11*a-3*~(a&~b)+3*~(a|b)+4*~(a|~b)))*(~x&(-7*(a&b)-11*(a&~b)+11*a-3*~(a&~b)+3*~(a|b)+4*~(a|~b))),x*b,x*b,x*b,True,0.07474637031555176
-3*((3*(a&b)+4*(a&~b)-1*(a^b)-2*~(a&~a)+2*~(a|b)+3*~(a|~b))&y)-((3*(a&b)+4*(a&~b)-1*(a^b)-2*~(a&~a)+2*~(a|b)+3*~(a|~b))^y)+~y-~((3*(a&b)+4*(a&~b)-1*(a^b)-2*~(a&~a)+2*~(a|b)+3*~(a|~b))&y),-a-2*y,-a-2*y,-a-2*y,True,0.08093881607055664
(x&~(-4*(a&b)-9*(a&~b)+4*(a^b)+5*(a|~b)-5*~(a|b)-3*~(a|~b)))-1*~x-1*(x|(-4*(a&b)-9*(a&~b)+4*(a^b)+5*(a|~b)-5*~(a|b)-3*~(a|~b)))-1*(~(x&(-4*(a&b)-9*(a&~b)+4*(a^b)+5*(a|~b)-5*~(a|b)-3*~(a|~b))))+(~(x|~(-4*(a&b)-9*(a&~b)+4*(a^b)+5*(a|~b)-5*~(a|b)-3*~(a|~b))))+2*(x&(-4*(a&b)-9*(a&~b)+4*(a^b)+5*(a|~b)-5*~(a|b)-3*~(a|~b)))-1*(x|~(-4*(a&b)-9*(a&~b)+4*(a^b)+5*(a|~b)-5*~(a|b)-3*~(a|~b)))-1*(~(x&~(-4*(a&b)-9*(a&~b)+4*(a^b)+5*(a|~b)-5*~(a|b)-3*~(a|~b))))-2*(~(x|(-4*(a&b)-9*(a&~b)+4*(a^b)+5*(a|~b)-5*~(a|b)-3*~(a|~b))))+(~(x&~x))+2*(~(x|(-4*(a&b)-9*(a&~b)+4*(a^b)+5*(a|~b)-5*~(a|b)-3*~(a|~b))))+2*(~(x|~(-4*(a&b)-9*(a&~b)+4*(a^b)+5*(a|~b)-5*~(a|b)-3*~(a|~b))))-2*(x&(-4*(a&b)-9*(a&~b)+4*(a^b)+5*(a|~b)-5*~(a|b)-3*~(a|~b))),-2*(~(x^b))-~b,-2*x-b+4*(x|b)-3*~(x&~x),-2*x-b+4*(x|b)-3*~(x&~x),True,0.10075497627258301
